# tako 解説動画 v6（#1081）のタイムライン。スライド主軸 + 実 UI の挿し込み。
# 列: id / kind / source / anchor / offset / min_dur / caption / subtitle / speech
#   kind=slide … source は slides/<id>.png のファイル名（HTML から render-slides.mjs が描く）
#   kind=clip  … source は scenes/<name>-raw.mp4、anchor はビート名か秒数
#   caption は**大見出しだけ**。小さなサブタイトル行は使わない（2026-09-09 ユーザー指示）ので
#   subtitle 列は常に "-"。スライドは画面自身が文字を持つので caption も "-"。
c4_run_ui	clip	basics	run	0	10	再生ボタンで新しいペインに実行	-	スクリプトは再生ボタンひとつで、新しいペインに分割して実行されます。
c5_title	slide	s_c5_title	-	0	5	-	-	ここが本題です。エーアイに作業を任せる、オーケストレーション。
c5_flow	slide	s_c5_flow	-	0	16	-	-	タコ マスター と打つと、今いるペインが司令塔、マスターになります。依頼を受けたマスターは、作業を成果物ごとに分解し、担当のエーアイ、ワーカーを隣のペインに立ち上げます。
c5_master_ui	clip	master	request	-14	11	tako master で司令塔を起動	-	あなたがやることは、マスターに日本語で話しかけることだけです。
c5_grid_ui	clip	master	workers_up	0	13	担当 AI が、同じタブに並ぶ	-	ワーカーは同じタブの中にグリッドで並びます。今なにを考え、どのコマンドを打っているかが、リアルタイムで見えます。
c5_quality	slide	s_c5_quality	-	0	15	-	-	ワーカーへの指示は、背景、スコープ、受け入れ条件、検証手順まで埋めた型で渡され、送達確認つきで届きます。マスターは完了報告を鵜呑みにせず、証拠を検査してから結果を届けます。
c5_orch_ui	clip	master	orch	0	9	右パネルの orch ビューで俯瞰	-	親子関係や稼働状況は、右パネルで俯瞰できます。
c6_title	slide	s_c6_title	-	0	5	-	-	コマンドを知らない人のために、かんたん表示があります。
c6_three	slide	s_c6_three	-	0	15	-	-	かんたん表示では、まだ何もしていないペインが、みっつのボタンになります。エーアイチームに任せる。エーアイと 1 対 1 で話す。コマンド入力へ。押すと、その画面でエーアイが動き始めます。
c6_cards_ui	clip	guimode	42.11	0	9	何をしますか、と聞かれる	-	実際の画面です。
c6_chat_ui	clip	guimode	118.54	0	12	押すと、その画面がチャットになる	-	上に、動いているモデルの名前と、待機中か考え中かの状態、それに会話の残り容量が出ます。
c6_grow	slide	s_c6_grow	-	0	13	-	-	司令塔が担当のエーアイを立てると、隣のペインにもチャット画面が増えます。担当には司令塔が指示を出しますが、ここから直接お願いすることもできます。
c7_title	slide	s_c7_title	-	0	4	-	-	長い作業を任せたときに効くのが、永続化です。
c7_persist	slide	s_c7_persist	-	0	14	-	-	タコは、ティーマックスが入っていれば、全ペインをそのセッション経由で動かします。エージェントもデブサーバーも走ったまま、タコを終了できます。
c7_after_ui	clip	restore-after	0	0	12	再起動すると、画面ごと戻ってくる	-	再起動すると、タブ構成もペインも、画面の中身ごと復元されます。一晩かかる作業を任せて寝る、が現実的にできます。
c8_title	slide	s_c8_title	-	0	4	-	-	席を離れても、進み具合は手元で見られます。
c8_net	slide	s_c8_net	-	0	16	-	-	タコ リモート は、テイルスケールのネットワークの中だけに存在する固定ユーアールエルで、タコの画面をスマホのブラウザに出します。通信は端から端まで暗号化され、公開インターネットには存在しません。
c8_pwa_ui	clip	pwa	list	0	11	画面はデモ用データ	-	ペインの一覧から、エージェントの会話を読んだり、権限確認の承認カードにその場で答えたりできます。
c8_rc_ui	clip	remote	profile	0	14	Claude 公式 Remote Control への委譲（既定は OFF）	-	プロファイルでオプトインすると、クロード公式のリモートコントロールへ繋げます。会話がアンソロピックのサーバーにも保存されるため、既定はオフです。
c9_title	slide	s_c9_title	-	0	4	-	-	最後に、対応環境と入手先です。
c9_win	slide	s_c9_win	-	0	14	-	-	タコはマックオーエス先行で開発し、ウィンドウズ版もインストーラーとポータブル版を同じリリースに同梱しています。どの機能が使えるかは、実機で確かめたものだけを対応と書く方針です。
c9_win_ui	clip	windows	winsupport	0	10	自動生成の対応状況ページ	-	対応状況は、ドキュメントに自動生成の表があります。
outro	slide	s_outro	-	0	11	-	-	タコは、ジーピーエル バージョン 3 のオープンソースです。エーアイに任せる開発を、ひとつの画面で。ぜひ試してみてください。
